,0,1,2,3,4,5,6,7,8,9,10,11,12,13
50,30,1/6/19,Volskaya Industries,@UNKNOWN_RED#0,unknown,350.0,0,0,4,0.0,0.0,6.86,"[87.67, 83.55, 21.27, 44.94]","[27.769, 4.962, 0.0, 53.893]"
51,30,1/6/19,Volskaya Industries,STRIKER,brigitte,560.0,2,7,5,2.14,7.5,5.36,"[75.92, 59.1, 103.89, 78.15, 110.57]","[43.445, 5.806, 21.088, 37.155, 0.0]"
52,30,1/6/19,Volskaya Industries,STRIKER,unknown,350.0,0,0,4,0.0,0.0,6.86,"[69.39, 98.93, 51.05, 106.24]","[0.0, 0.0, 0.0, 0.0]"
53,30,1/6/19,Volskaya Industries,ARCHITECT,lucio,560.0,3,6,4,3.21,6.43,4.29,"[98.43, 26.57, 111.02, 104.46]","[89.391, 0.0, 0.0, 70.279]"
54,30,1/6/19,Volskaya Industries,ARCHITECT,unknown,350.0,0,0,2,0.0,0.0,3.43,"[118.98, 93.2]","[49.776, 0.0]"
55,30,1/6/19,Volskaya Industries,VIOL2T,zenyatta,560.0,3,6,5,3.21,6.43,5.36,"[101.96, 52.99, 87.73, 91.94, 72.27]","[37.122, 2.514, 35.723, 24.391, 0.0]"
56,30,1/6/19,Volskaya Industries,VIOL2T,unknown,350.0,0,0,4,0.0,0.0,6.86,"[47.95, 96.41, 66.64, 41.83]","[7.856, 44.257, 0.0, 0.0]"
57,31,1/6/19,Rialto,SMDRF,reinhardt,750.0,5,11,5,4.0,8.8,4.0,"[111.4, 38.04, 52.46, 209.93, 79.37]","[15.441, 84.916, 34.155, 53.3, 8.39]"
58,31,1/6/19,Rialto,CHOIHYDBIN,zarya,350.0,2,6,4,3.43,10.29,6.86,"[86.96, 12.6, 46.66, 107.16]","[0.0, 28.369, 15.58, 0.0]"
59,31,1/6/19,Rialto,CHOIHYDBIN,dva,400.0,4,3,0,6.0,4.5,N/A,N/A,N/A
60,31,1/6/19,Rialto,@UNKNOWN_BLUE#0,mei,350.0,2,6,3,3.43,10.29,5.14,"[84.59, 58.11, 77.39]","[36.151, 8.979, 38.639]"
61,31,1/6/19,Rialto,@UNKNOWN_BLUE#0,winston,43.44,0,1,1,0.0,13.81,13.81,[13.35],[0.0]
62,31,1/6/19,Rialto,@UNKNOWN_BLUE#0,zarya,141.48,0,2,1,0.0,8.48,4.24,[118.06],[8.419]
63,31,1/6/19,Rialto,@UNKNOWN_BLUE#0,bastion,215.07,0,3,1,0.0,8.37,2.79,[213.09],[17.388]
64,31,1/6/19,Rialto,STRIKER,brigitte,750.0,4,9,5,3.2,7.2,4.0,"[117.14, 39.66, 108.67, 221.0, 92.69]","[0.0, 31.852, 0.0, 33.48, 0.0]"
65,31,1/6/19,Rialto,ARCHITECT,lucio,750.0,2,8,3,1.6,6.4,2.4,"[85.05, 126.71, 299.53]","[41.069, 5.597, 0.51]"
66,31,1/6/19,Rialto,VIOL2T,zenyatta,482.7,4,7,4,4.97,8.7,4.97,"[94.8, 81.21, 89.1, 79.95]","[58.015, 0.0, 7.418, 3.01]"
67,31,1/6/19,Rialto,VIOL2T,ana,267.3,0,3,1,0.0,6.73,2.24,[224.52],[28.712]
68,31,1/6/19,Rialto,SUPER,reinhardt,750.0,9,7,6,7.2,5.6,4.8,"[43.84, 101.83, 49.62, 68.23, 220.02, 52.15]","[0.0, 66.55, 0.0, 5.447, 83.04, 25.66]"
69,31,1/6/19,Rialto,NEVIX,dva,750.0,15,2,0,12.0,1.6,N/A,N/A,N/A
70,31,1/6/19,Rialto,SINATRAA,zarya,750.0,8,4,7,6.4,3.2,5.6,"[82.18, 61.57, 113.84, 41.19, 68.04, 152.96, 88.65]","[0.0, 0.0, 33.416, 3.731, 0.0, 38.57, 0.0]"
71,31,1/6/19,Rialto,BA8YBAY,brigitte,750.0,6,3,6,4.8,2.4,4.8,"[85.05, 48.9, 90.19, 62.98, 67.02, 125.82]","[30.142, 2.049, 0.0, 0.0, 148.44, 0.0]"
72,31,1/6/19,Rialto,MOTH,lucio,750.0,8,4,4,6.4,3.2,3.2,"[124.68, 86.34, 251.57, 114.31]","[2.506, 34.246, 5.6, 0.0]"
73,31,1/6/19,Rialto,SLEEPY,zenyatta,750.0,11,3,4,8.8,2.4,3.2,"[75.11, 85.56, 59.91, 92.15]","[48.989, 93.685, 200.16, 0.0]"
74,32,1/6/19,Horizon Lunar Colony,SMURF,winston,585.0699999999999,8,7,4,8.2,7.18,4.1,"[110.82, 93.5, 79.56, 131.84]","[12.37, 23.257, 21.641, 6.237]"
75,32,1/6/19,Horizon Lunar Colony,SMURF,orisa,200.93,0,2,1,0.0,5.97,2.99,[95.36],[4.029]
76,32,1/6/19,Horizon Lunar Colony,CHOIHYOBIN,dva,786.0,11,8,0,8.4,6.11,N/A,N/A,N/A
77,32,1/6/19,Horizon Lunar Colony,@UNKNOWN_BLUE#0,mccree,97.35,0,3,0,0.0,18.49,N/A,N/A,N/A
78,32,1/6/19,Horizon Lunar Colony,@UNKNOWN_BLUE#0,ashe,188.65,4,1,0,12.72,3.18,N/A,N/A,N/A
79,32,1/6/19,Horizon Lunar Colony,@UNKNOWN_BLUE#0,zarya,139.77,1,1,1,4.29,4.29,4.29,[2.39],[0.0]
80,32,1/6/19,Horizon Lunar Colony,@UNKNOWN_BLUE#0,sombra,360.23,0,4,3,0.0,6.66,5.0,"[141.22, 63.75, 68.42]","[23.539, 15.18, 23.099]"
81,32,1/6/19,Horizon Lunar Colony,STRI6ER,tracer,447.66,10,4,6,13.4,5.36,8.04,"[17.81, 53.54, 63.08, 45.94, 98.57, 66.0]","[0.0, 0.0, 0.0, 2.69, 4.24, 6.05]"
82,32,1/6/19,Horizon Lunar Colony,STRI6ER,junkrat,193.57,1,4,1,3.1,12.4,3.1,[50.16],[33.12]
83,32,1/6/19,Horizon Lunar Colony,STRI6ER,brigitte,144.77,2,1,2,8.29,4.14,8.29,"[2.37, 73.75]","[0.0, 23.728]"
84,32,1/6/19,Horizon Lunar Colony,ARCHITECT,ana,421.40999999999997,0,4,4,0.0,5.7,5.7,"[38.67, 51.04, 87.66, 122.36]","[0.0, 0.0, 0.0, 26.747]"
85,32,1/6/19,Horizon Lunar Colony,ARCHITECT,mercy,107.97,0,2,1,0.0,11.11,5.56,[89.27],[0.0]
86,32,1/6/19,Horizon Lunar Colony,ARCHITECT,lucio,166.62,1,1,1,3.6,3.6,3.6,[128.9],[22.583]
87,32,1/6/19,Horizon Lunar Colony,ARCHITECT,unknown,90.0,0,0,0,0.0,0.0,N/A,N/A,N/A
88,32,1/6/19,Horizon Lunar Colony,VIOL2T,zenyatta,696.0,4,8,6,3.45,6.9,5.17,"[114.95, 106.64, 55.76, 71.83, 71.48, 87.96]","[40.787, 5.38, 0.49, 0.0, 3.86, 62.89]"
89,32,1/6/19,Horizon Lunar Colony,VIOL2T,unknown,90.0,0,0,0,0.0,0.0,N/A,N/A,N/A
90,32,1/6/19,Horizon Lunar Colony,SUPER,winston,619.31,12,7,8,11.63,6.78,7.75,"[85.68, 72.11, 57.4, 92.78, 79.88, 48.53, 110.85, 62.34]","[3.583, 0.865, 0.0, 18.15, 7.34, 0.0, 12.18, 0.0]"
91,32,1/6/19,Horizon Lunar Colony,SUPER,reinhardt,111.67,3,0,0,16.12,0.0,N/A,N/A,N/A
92,32,1/6/19,Horizon Lunar Colony,SUPER,orisa,55.02,1,1,0,10.91,10.91,N/A,N/A,N/A
