,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total,total_elims,total_deaths,total_hero_damage,total_healing,total_ultimates,total_final_blows
34,3577,4405,mainsupport,Custa,VAL,14.447980160614295,4.5149938001919665,4927.26492850935,5851.685290804381,3.4991201951487745,1.9188723650815855,5315.621917128563,128.0,39.99999999999999,43652.46240913867,51842.24430656433,31.0,16.999999999999996
35,8701,7698,offtank,Daco,ATL,19.802417240666667,3.802064110208,6786.8068570949645,0.20422892074391494,2.640322298755556,5.333451043486223,22724.49845546484,750.0,144.0,257044.63656932116,7.734999656677244,100.00000000000003,202.0
36,8711,7698,maindps,dafran,ATL,20.36668050757363,5.436034290064941,10831.295156505414,41.50344375069406,5.017877806213793,7.305439747281844,24392.782113671303,828.0,220.99999999999997,440342.37126916647,1687.307433962822,204.0,296.99999999999994
37,4489,4525,maindps,Danteh,HOU,18.619473646582914,3.909816052072477,9139.42614356155,362.2287103209982,5.112836375787086,5.058153633800059,21944.766417980194,680.9999999999999,143.0,334270.9531913996,13248.374063134195,187.0,185.00000000000003
38,8895,4408,maindps,DDing,SHD,19.483454025376147,3.2101612668238024,7537.9220360948975,986.0673965596077,4.640431138180942,5.689295710509511,18877.556285500526,613.0,101.0,237162.57918682694,31024.23796641827,146.0,179.0
39,8180,4406,maindps,Decay,GLA,20.802838841966373,4.2573251583559095,11880.443421577995,0.656777500608893,4.93462688809435,7.2568042471975716,12402.15347337723,430.0,88.00000000000001,245571.80441030866,13.575758934020996,102.00000000000001,149.99999999999997
40,8893,4408,maindps,diem,SHD,20.292655693623573,4.749344949571473,9992.93127487251,20.529615410565214,4.722360035085272,7.717685543053643,22234.64522397518,752.0000000000002,176.0,370315.4694072605,760.781192064285,175.0,285.99999999999994
41,9251,7698,flexsupport,Dogman,ATL,16.540820572135438,6.026500518529968,7126.651319577833,8614.141250416234,4.74426636565125,4.519875388897474,18717.330174148083,515.9999999999999,188.00000000000006,222319.80964094406,268722.87658464914,148.0,140.99999999999997
42,4616,4523,maindps,EFFECT,DAL,13.172061822806649,6.146962183976437,9168.783911559944,8.554601401611384,4.610221637982328,4.610221637982328,5466.114642381668,119.99999999999999,56.0,83529.37331968546,77.9340533018112,42.00000000000001,42.00000000000001
43,8722,7699,flexdps,Eileen,GZC,16.92353408823663,3.7991607136857737,6193.543745844408,3962.1646401253856,4.720169371548991,4.547480248199638,10423.354783952236,294.0,66.0,107595.83972144125,68831.74626076221,82.0,79.0
