,Unnamed: 0,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total
112,112,8715,7693,flexsupport,Revenge,HZS,8.593986147999999,4.4760344519999995,6010.523007,8641.515790000001,4.2969930739999995,1.790413781,3351.18064
113,113,8716,7693,offtank,Ria,HZS,17.06431815,4.2660795369999995,6569.2630770000005,0.0,3.014077934,5.378969852000001,12939.28055
114,114,8724,7699,maintank,Rio,GZC,17.20863888,4.633095082,7339.181822,0.0,4.74340687,5.46043349,10878.25721
115,115,8222,4406,maintank,rOar,GLA,14.60631133,6.207682317000001,8020.3098310000005,0.0,4.903547377,4.747051184,11501.87725
116,116,8687,7695,mainsupport,RoKy,TOR,13.22113022,4.672128726,4394.414255,6333.273192000001,3.2307273110000003,2.087546878,12071.5852
117,117,4105,4409,flexsupport,ryujehong,SEO,16.1108035,4.371148235,6525.6674219999995,9936.965659,4.933153008000001,4.058923361000001,9608.45932
118,118,4669,4524,maintank,Sado,PHI,17.07157167,7.042580479,6992.738386,0.0,3.74415671,4.858489064,13460.975030000001
119,119,8730,7697,offtank,Sansam,WAS,9.49351357,4.389474016,5168.75224,21.17768158,2.143696612,2.347858195,5877.697397
120,120,5442,4407,maindps,sayaplayer,FLA,19.60982658,4.902456644,15745.88235,817.4892884,4.902456644,11.03052745,489.55047930000006
121,121,8728,7696,maindps,SeoMinSoo,VAN,19.88523374,3.224632498,11607.70465,0.0,5.038488278,7.188243277000001,8931.250311
122,122,4644,4406,flexsupport,Shaz,GLA,14.19019082,4.59094409,8143.3147579999995,10665.31092,5.164812101,3.599717525,11500.90242
123,123,8725,7699,flexsupport,shu,GZC,15.05620796,3.639962365,6609.723879,9483.036467,4.798132208999999,3.91571709,10879.23336
124,124,4139,4404,maindps,sinatraa,SFS,19.17774494,4.199048728999999,12667.550640000001,396.0915988,5.389823742000001,5.8912026939999995,9573.596925
125,125,4488,4404,flexsupport,sleepy,SFS,14.71957329,2.911563948,7765.034976999999,11039.57114,5.176113685,3.477701382,7418.693316
126,126,8749,7696,mainsupport,SLIME,VAN,13.85202487,2.83995489,4165.69195,6469.727387,3.2456627310000004,2.2024139959999998,10352.277109999999
127,127,7831,4404,maintank,Smurf,SFS,15.71488661,4.714465982,7662.725538,0.0,4.714465982,6.061456262,2672.625075
128,128,4493,4524,flexdps,snillo,PHI,13.11566286,7.286479365,4268.438247,6369.452283,2.914591746,2.914591746,411.7214707
129,129,3987,7694,maindps,SoOn,PAR,22.17825467,5.1400246869999995,9823.684495,24.81416526,4.47372519,5.520767256,6303.471671
130,130,4637,4405,offtank,SPACE,VAL,19.20287775,3.1496783610000003,7384.252098000001,0.554749781,4.216504903,5.994549139,11810.72977
131,131,4094,4525,offtank,SPREE,HOU,16.46580318,4.4818162489999995,6940.044506,3.191832464,4.384385461,4.579247037,6158.217665
132,132,8752,7695,flexdps,Stellar,TOR,18.29383627,4.722593601,5692.404705,9013.004531999999,4.921439648,5.219708717,12069.63902
133,133,8747,7696,maindps,Stitch,VAN,9.289057751,6.7556783639999995,6847.565097,0.0,3.3778391819999998,4.644528875,1421.026799
134,134,4610,4404,maindps,STRIKER,SFS,14.08531882,7.042659411,8429.293453,0.0,4.225595646,6.573148783,1277.9263449999999
135,135,4490,4404,maintank,super,SFS,14.33103109,5.511935032999999,8274.368445,0.0,4.754043966,4.133951275,8708.3755
