,Unnamed: 0,Unnamed: 0.1,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total,total_elims,total_deaths,total_hero_damage,total_healing,total_ultimates,total_final_blows
15,15,15,8731,7693,flexsupport,BEBE,HZS,15.20943616,4.506499603,7476.628731,10190.69743,5.132402325,3.0669233410000003,9586.154179,243.00000000902946,72.00000000326715,119453.52625751184,162815.99459253176,81.99999999351344,49.000000003332985
16,16,16,8708,7694,maintank,BenBest,PAR,17.22860127,5.996695468,7923.8985269999985,0.0,5.044839045,4.664096475,6303.471671,181.00000006066605,63.00000000358683,83246.78314803855,0.0,53.000000008187,49.00000000162244
17,17,17,4643,4406,mainsupport,BigG00se,GLA,13.97914774,4.955294909,4790.626201,4375.194179,3.129659943,2.71237195,11502.84717,268.00000003345144,95.00000003417675,91843.06839783449,83878.64996685104,60.00000003066651,52.0000000150748
18,18,18,4656,4410,maindps,BIRDRING,LDN,17.05188652,4.93916713,9647.421402,12.96531349,4.351171043,6.820754608,5102.07477,144.99999999099182,41.99999999797719,82036.44221783706,110.24999807078274,36.999999997408146,57.99999999639673
19,19,19,8184,4402,flexdps,blase,BOS,13.5335529,5.879330359,4670.514451,8554.467216,4.880953506,3.216992083,10817.55848,243.99999989653935,105.99999996953649,84205.93867562932,154230.74895720463,87.99999998219339,57.99999997924919
20,20,20,4625,4525,mainsupport,Boink,HOU,11.70161781,4.732271908,3897.233711,6326.969349,3.3986316430000003,2.237073993,13946.78947,272.00000009078747,110.0000000261187,90589.83013783972,147068.18248940993,79.00000001833534,52.000000015305424
21,21,21,4079,4524,flexsupport,Boombox,PHI,18.7080584,5.238256353,7737.855767,8169.091241,5.4045502060000015,4.489934017,7216.14168,224.99999995352348,62.999999999013475,93062.43919012844,98248.86631983837,65.00000000528199,54.00000000087255
22,22,22,8704,4407,maindps,bqb,FLA,20.29258395,5.027165812,9655.064375,85.31300416,4.53671061,5.578927912999999,9786.826583,331.000000066032,82.00000001005063,157487.4011430438,1391.572628314463,73.99999999554358,91.00000000598185
23,23,23,8771,7696,maintank,BUMPER,VAN,16.22831366,5.969701095,8455.790443,0.0,5.100327149,5.795826306,10352.27711,280.0000000605306,102.99999999885073,145894.47641670945,0.0,87.99999999684044,100.00000000189944
24,24,24,4620,4524,maindps,carpe,PHI,20.10110274,5.125558348,9941.185978,10.8812073,4.323297042,7.443202123,13461.94801,451.0000000492476,115.00000000499581,223046.21465596167,244.13707826438747,97.0000000186513,167.00000001291272
25,25,25,8721,7699,mainsupport,Chara,GZC,13.67743434,4.301773704,4942.397495,5107.625399000001,2.9781510260000004,2.592094411,10879.23336,247.9999999182293,77.99999997954595,89615.82617664072,92611.74771864021,53.99999998862906,46.999999980701254
26,26,26,5831,4404,offtank,Choihyobin,SFS,18.95195283,3.092578077,6677.413182,23.00126713,3.092578077,6.026562406,7566.502581000002,239.0000000053088,39.000000002607536,84207.77346001072,290.0652451756925,39.000000002607536,75.99999999926096
27,27,27,4663,4523,mainsupport,Closer,DAL,12.40378761,3.69582243,3742.824652,5300.104541,2.885779158,1.4175757269999998,11851.21873,245.00000007762327,73.00000000861687,73928.38936481356,104687.83034542875,57.000000013222056,28.00000001169294
28,28,28,5306,4402,maindps,ColourHex,BOS,14.86341662,5.780217576,8726.912674,33.51272696,3.922290498,4.12872684,2906.4649870000007,71.9999999887065,28.00000000314336,42274.110219312584,162.33927921355163,19.000000002132996,20.000000002245258
29,29,29,8892,4408,mainsupport,CoMa,SHD,11.06000489,4.078376803,3400.6385909999995,5583.421757,2.9032512839999995,1.866375825,8679.923829000001,159.99999998927922,58.99999999333424,49195.47323306314,80772.79259323559,42.00000000261075,26.999999995478394
30,30,30,4138,4525,offtank,coolmatt,HOU,19.27529338,4.72790215,8909.241195,1.905252338,4.72790215,5.000665736,6599.121346,211.99999999061748,51.99999999977383,97988.60624431176,20.954985622020345,51.99999999977383,55.00000000441401
31,31,31,8784,7697,maindps,Corey,WAS,8.881028823,5.512362717999999,8879.73514,0.0,4.287393225,3.368666105,5877.697397,86.99999999271512,53.99999999818073,86987.32686404572,0.0,41.99999999749656,32.999999994534384
32,32,32,3577,4405,mainsupport,Custa,VAL,14.44798016,4.514993799999999,4927.264929,5851.685291,3.499120195,1.918872365,5315.621917,127.99999999146195,39.99999999733185,43652.46241242975,51842.24430704354,30.999999997932193,16.99999999886604
33,33,33,8701,7698,offtank,Daco,ATL,22.20438447,3.073271207,7094.656267,0.594293793,2.151289845,5.992878855,7809.268489,288.99999993202,39.99999999162683,92340.12604361579,7.7349996514719805,27.999999995440323,78.00000000124317
34,34,34,8711,7698,maindps,dafran,ATL,21.13339424,5.4811209660000015,10662.47764,38.33548275,4.97256335,7.967402641,10618.26593,374.00000007308375,97.00000001914417,188695.03842366464,678.4272506573793,88.0000000067861,141.0000000225372
35,35,35,4489,4525,maindps,Danteh,HOU,18.15345218,4.344783579,9997.699855,518.3889735,5.033066127,5.119101445,13947.76032,421.9999999787025,101.00000000360629,232409.20221473128,12050.60859151472,117.00000002351113,119.00000001437611
36,36,36,8895,4408,maindps,DDing,SHD,17.58169329,3.375057194,7605.157895,2010.8540920000007,5.023340939,5.258810046000001,7644.314901999999,224.00000003190067,43.00000000532751,96893.70304801907,25619.336502038805,63.999999996373944,67.00000000237519
37,37,37,8893,4408,maindps,diem,SHD,18.72867786,4.90677538,9728.359569,52.57721723,5.18321343,7.740265389,8681.872859000001,270.99999999614704,70.99999999471903,140767.30150782343,760.7811921181404,75.00000000053551,112.00000000369366
38,38,38,9251,7698,flexsupport,Dogman,ATL,18.30732981,5.662060767000001,6703.494792,7418.957673000001,4.435280934,5.473325407999999,6358.1090840000015,193.99999994790835,59.99999999470454,71035.91855260317,78617.5702908547,46.999999994262346,57.99999999382135
39,39,39,4616,4523,maindps,EFFECT,DAL,13.17206182,6.146962184,9168.783912,8.554601402000001,4.6102216380000005,4.6102216380000005,5466.114642000001,119.99999996605197,55.99999999630451,83529.37331786209,77.9340532999099,41.999999997228386,41.999999997228386
40,40,40,8722,7699,flexdps,Eileen,GZC,16.50770822,3.763415345,6474.6029899999985,2678.61512,4.704269181,5.046397849,7014.904702,193.00000001953677,43.99999999869908,75697.87159689041,31317.049666893825,54.99999999545098,58.999999998521304
41,41,41,5175,4524,flexsupport,Elk,PHI,13.06476629,5.475674108,6413.144662,7953.25943,4.226836154,4.034707238,6245.806329,135.9999999683131,56.999999998813045,66758.76586452028,82790.8634734549,44.000000003832035,42.00000000460419
42,42,42,8787,7692,offtank,Elsa,CDH,17.88707123,3.895650482,7030.704751,70.59268334,2.962889099,6.309856415,10935.27261,326.00000015756336,71.00000002324651,128137.78848767864,1286.5837276571756,54.00000001793713,115.00000004663714
